Disclaimer
"Usually, it is not a best practice, to ascertain whether or not a file is malicious from a hash value alone. Indeed when Trend Micro analyzes a suspicious file, different factors are being looked at - including the file itself, as well as its behavior."
"Since a file hash is only a fingerprint of sorts to help ascertain the integrity of a particular file, it alone is not enough to ascertain whether or not a file is malicious."
IOCs are mostly to be used to perform sweeping activities targeting devices/network segment that are suspected to be compromised. Those are indeed Indicators of Compromise and not all of those Indicators are malicious. Those might also be used to perform Threat Hunting activities.
"Moreover there exists different hashes that can serve as IOCs and that different from file hashes themselves. Those include imphash, Richhash, Metahash, ... For those ones, it is expected that no assessment can be shared in regards to corresponding file coverage via legacy detection components (pattern files)."
Thank you for your understanding.

[Files]
Original Hash,SHA1,SHA256,MD5,TM Detection (Smart Scan) [ThreatHub]
FA58022D69CA123CBC1BEF13467D6853B2D55B12563AFDBB81FC64B0D8A1D511,,fa58022d69ca123cbc1bef13467d6853b2d55b12563afdbb81fc64b0d8a1d511,,Need sample for analysis
BBF7154F14D736F0C8491FB9FB44D2F179CDB02D34AB54C04466FA0702EA7D55,,bbf7154f14d736f0c8491fb9fb44d2f179cdb02d34ab54c04466fa0702ea7d55,,Need sample for analysis
D737637EE5F121D11A6F3295BF0D51B06218812B5EC04FE9EA484921E905A207,,d737637ee5f121d11a6f3295bf0d51b06218812b5ec04fe9ea484921e905a207,,Need sample for analysis
19D04A09E2B691F4FB3C2111D308DCFA2651328DFDDEF701D86C726DCE4A334A,,19d04a09e2b691f4fb3c2111d308dcfa2651328dfddef701d86c726dce4a334a,,Need sample for analysis
632816DB4E3642C8F0950250180DFFFE3D37DCA7219492F9557FAF0ED78CED7C,,632816db4e3642c8f0950250180dfffe3d37dca7219492f9557faf0ed78ced7c,,Need sample for analysis
CC29F33C1450E19B9632EC768AD4C8C6ADBF35ADAA3E1DE5E19B2213D5CC9A54,,cc29f33c1450e19b9632ec768ad4c8c6adbf35adaa3e1de5e19b2213d5cc9a54,,Need sample for analysis
3C0D733718CC929C70D5ABBBAB003981B3F175B42688234620DC3B6572485ED4,5523b180add652198a08ec343d5ced3a9760571b,3c0d733718cc929c70d5abbbab003981b3f175b42688234620dc3b6572485ed4,4bff90a6f7bafc8e719e8cab87ab1766,TROJ_GEN.R002C0XFU23
535E0DBD97CB9EA66F375400B550DD3BCAD0788A89FB46996A651053A2DF07C3,19ec859708e58b1275ee1bdb48aa1966757266d0,535e0dbd97cb9ea66f375400b550dd3bcad0788a89fb46996a651053a2df07c3,39b91f5dfbbec13a3ec7cce670cf69ad,Ransom.Win32.LOCKBIT.SMYXCJN
F02642B7003FB204C464AB56BA93B00EA3CB8C7F96C936323C17B92F49C36C41,510f4f3e288571b35cb416318921e9a333c8e72b,f02642b7003fb204c464ab56ba93b00ea3cb8c7f96c936323c17b92f49c36c41,f90e95b9fcab4c1b08ca06bc2c2d6e40,Ransom.Win32.LOCKBIT.SMYXCGD
AA97A485A20F3411DAF62596FBD2CEFD1FDD957F497A9C79AC5B27720D4CCA98,,aa97a485a20f3411daf62596fbd2cefd1fdd957f497a9c79ac5b27720d4cca98,,Need sample for analysis
03E1A48864B189271A5EEE21D92ECE949E0C1C3019D2047DD2F855F2FDB58F27,,03e1a48864b189271a5eee21d92ece949e0c1c3019d2047dd2f855f2fdb58f27,,Need sample for analysis
773F9B531C8D59A32AAD6F7F50E4A22C6E5642D4E70EED0A12390CAF66EB8403,3fb65bff6f6d49eb46e2699d567fcabd241074a2,773f9b531c8d59a32aad6f7f50e4a22c6e5642d4e70eed0a12390caf66eb8403,9c74401a28bd71a87cdf5c17ad1dffa5,Ransom.Win32.LOCKBIT.SMYXCGD
F97A30CF4CEBD4873634D0099FA2F0836E45AC99CAA0CB276646E7D604DCB2CF,,f97a30cf4cebd4873634d0099fa2f0836e45ac99caa0cb276646e7d604dcb2cf,,Need sample for analysis
4A4C8D32038388F6CA9475FB6DB8024ACD56A01721D53104C755F918FB31F221,,4a4c8d32038388f6ca9475fb6db8024acd56a01721d53104c755f918fb31f221,,Need sample for analysis
92804FAAAB2175DC501D73E814663058C78C0A042675A8937266357BCFB96C50,d1f7832035c3e8a73cc78afd28cfd7f4cece6d20,92804faaab2175dc501d73e814663058c78c0a042675a8937266357bcfb96c50,e930b05efe23891d19bc354a4209be3e,HKTL_MIMIKATZ64
5DD77E8D7D97B876026800B045C80E448FDEF19F5549068B65DD4E2178D52A65,,5dd77e8d7d97b876026800b045c80e448fdef19f5549068b65dd4e2178d52a65,,Need sample for analysis
7334F44F4CC7E6255441BB68CE5F023C9BF05BD7F719D4BA3FEF37B68FD4E8ED,43a6158dfd241f7f62d01cf90753f0338edac26c,7334f44f4cc7e6255441bb68ce5f023c9bf05bd7f719d4ba3fef37b68fd4e8ed,ecb14e506727ee67220e87ced2e6781a,NO_DETECTION
CDA48C19868529A2B9A20DEF1B77140702CCF1506C4386C2F1D40DA352D18291,,cda48c19868529a2b9a20def1b77140702ccf1506c4386c2f1d40da352d18291,,Need sample for analysis
E84D3AC71DC562C086DFD8F373A6C0D25130079241FF02B872A4CBC3C3E06B97,,e84d3ac71dc562c086dfd8f373a6c0d25130079241ff02b872a4cbc3c3e06b97,,Need sample for analysis
E5CF8F6688DD3F044EFAD5D12F3F591B03C6F4B28B45E17ED35ED0F58FB28553,,e5cf8f6688dd3f044efad5d12f3f591b03c6f4b28b45e17ed35ed0f58fb28553,,Need sample for analysis
0A866D101C7AB4D3473688D9E1C0B870E807BF2823B8E2AF8B304E3CA3FE577E,,0a866d101c7ab4d3473688d9e1c0b870e807bf2823b8e2af8b304e3ca3fe577e,,Need sample for analysis
A028FE94A83846666EC974858398DBDCFD6FDD29BD995619A1F2542F611D62D6,12df98ea1706186be41d8a9f7067bfc7ae0b1fba,a028fe94a83846666ec974858398dbdcfd6fdd29bd995619a1f2542f611d62d6,05d80c987737e509ba8e6c086df95f7d,TROJ_FRS.VSNTAN20
4D5992DE4601C4306885C71B0BA197184BB69221,4d5992de4601c4306885c71b0ba197184bb69221,9144a60ac86d4c91f7553768d9bef848acd3bd9fe3e599b7ea2024a8a3115669,a57f84e3848ab36fd59c94d32284a41e,Ransom.Win32.MEDUSA.SM
042CE9AB1AFE035E0924753F076FCB20DE0D1A1D,042ce9ab1afe035e0924753f076fcb20de0d1a1d,7d68da8aa78929bb467682ddb080e750ed07cd21b1ee7a9f38cf2810eeb9cb95,e4b7fdabef67a0550877e6439beb093d,Ransom.Win32.MEDUSA.SM
EE4575CF9818636781677D63236D3DC65652DEAB,ee4575cf9818636781677d63236d3dc65652deab,736de79e0a2d08156bae608b2a3e63336829d59d38d61907642149a566ebd270,47386ee20a6a94830ee4fa38b419a6f7,Ransom_MedusaLocker.R002C0DBK23
DB5E29C0729486BA3833426093652451C5FCA9B5,db5e29c0729486ba3833426093652451c5fca9b5,657c0cce98d6e73e53b4001eeea51ed91fdcf3d47a18712b6ba9c66d59677980,8cd11f34d817a99e4972641caf07951e,Ransom.Win32.MEDUSA.SM
0823D067541DE16325E5454A91B57262365A0705,0823d067541de16325e5454a91b57262365a0705,4d4df87cf8d8551d836f67fbde4337863bac3ff6b5cb324675054ea023b12ab6,84b88ac81e4872ff3bf15c72f431d101,Ransom.Win32.MEDUSA.SM
F9D57326FBD980F3D910CE1D73F6C0C2BDE140EB,f9d57326fbd980f3d910ce1d73f6c0c2bde140eb,,,Need sample for analysis
